ID,song_name,song_singer,song_url,song_comment_num,song_play_num,album_name,album_url,album_score,album_language,album_date,album_genre
124,Only a Glimpse,Adam Cappa,http://www.xiami.com/song/xLwt77cfb4e,4,1912,The Rescue,https://www.xiami.com/album/499438,9.1,英语,2012年03月13日,无
125,Don’t You Know You’re Beautiful,Seabird,http://www.xiami.com/song/b1pN7Qj4333d,185,371359,Rocks Into Rivers,https://www.xiami.com/album/360239,8.8,英语,2010年01月12日,基督摇滚 Christian Rock
126,Botanical,Spruzzata,http://www.xiami.com/song/bqvjikU3c2a6,134,72024,Advisory,https://www.xiami.com/album/497476,9.1,英语,2012年02月29日,无
127,October Skies,Waking Ashland,http://www.xiami.com/song/clg17feaf0,202,472549,Composure,https://www.xiami.com/album/178853,8.8,英语,2005年05月10日,无
128,Snowdreams,Bandari,http://www.xiami.com/song/mQ7BAA751d2,110,679798,Relaxation - Fortune,https://www.xiami.com/album/303205,9.4,其他,2004年02月28日,放松新世纪 Relaxation New Age
129,Lost Stars,Adam Levine,http://www.xiami.com/song/xL6PRmbda78,1006,2551067,Ⅴ,https://www.xiami.com/album/2942146,9.0,英语,2014年08月29日,流行摇滚 Pop Rock
130,我看见的世界,周蕙,http://www.xiami.com/song/xL2dMx10980,165,772497,我看见的世界,https://www.xiami.com/album/280961754,8.8,国语,2013年10月11日,国语流行 Mandarin Pop
131,念念,刘若英,http://www.xiami.com/song/mQOZp26213d,1322,4591999,我要你好好的,https://www.xiami.com/album/1934523319,9.2,国语,2015年09月25日,国语流行 Mandarin Pop
132,当爱在靠近,刘若英,http://www.xiami.com/song/0K2P2e1dc,1417,8341400,Love and the City,https://www.xiami.com/album/10601,9.4,国语,2002年06月01日,国语流行 Mandarin Pop
133,我们没有在一起,刘若英,http://www.xiami.com/song/xLq4fVe00f6,2000,20510253,在一起,https://www.xiami.com/album/377241,9.2,国语,2010年04月16日,国语流行 Mandarin Pop
134,成全,刘若英,http://www.xiami.com/song/ni2ff6921,1477,7552309,滚石香港黄金十年 刘若英精选,https://www.xiami.com/album/10600,9.4,国语,2002年12月01日,国语流行 Mandarin Pop
135,A Day to Be Alone,One Less Reason,http://www.xiami.com/song/xLoOoTd14c3,253,427691,A Lifetime Burning,https://www.xiami.com/album/343480,8.6,英语,2007年12月01日,无
136,Pieces of You,One Less Reason,http://www.xiami.com/song/mQ3P0l67a37,62,88862,A Lifetime Burning,https://www.xiami.com/album/343480,8.6,英语,2007年12月01日,无
137,It is Well (Live) ,Bethel Music,http://www.xiami.com/song/JBbb5S1f494,373,474877,You Make Me Brave,https://www.xiami.com/album/1298846644,9.8,英语,2014年04月22日,当代基督 CCM / Contemporary Christian Music
138,Oh Father,Bodhi Jones,http://www.xiami.com/song/mQ9LpS77241,943,1834368,Where Does The Time Go?,https://www.xiami.com/album/465696,9.1,英语,2010年09月14日,无
